,beekin_id,latitude,longitude,baths,beds,sqft,posted_at,property_type,price,city,blockgroup,days_since_2014,trans_log_price
18633,7e1a6a8b63,43.6614764,-116.284122,2.0,2.0,1090.0,2018-10-13,2.0,1292.0,Boise,160010024122,1746,-0.25665863614752193
18634,7e1a6a8b63,43.6614764,-116.284122,2.0,2.0,1090.0,2018-10-13,2.0,1282.0,Boise,160010024122,1746,-0.28940590669467214
18635,7e1a6a8b63,43.6614764,-116.284122,2.0,2.0,1090.0,2018-10-13,2.0,1147.0,Boise,160010024122,1746,-0.7583655726893918
18636,5318812132,43.60423370000001,-116.18264779999998,2.0,2.0,1064.0,2018-10-13,2.0,1450.0,Boise,160010007011,1746,0.2295833533666138
18637,b17fd399f9,43.614312,-116.2925133,1.0,1.0,750.0,2018-10-13,2.0,1078.0,Boise,160010023022,1746,-1.0198463809482654
18638,b17fd399f9,43.614312,-116.2925133,1.0,1.0,750.0,2018-10-13,2.0,1036.0,Boise,160010023022,1746,-1.18733408302304
18639,b17fd399f9,43.614312,-116.2925133,1.0,1.0,750.0,2018-10-13,2.0,1052.0,Boise,160010023022,1746,-1.1227419755922543
18640,a237511415,43.614312,-116.2925133,2.0,3.0,1150.0,2018-10-13,2.0,1267.0,Boise,160010023022,1746,-0.33900890197166794
18641,a237511415,43.614312,-116.2925133,2.0,3.0,1150.0,2018-10-13,2.0,1127.0,Boise,160010023022,1746,-0.8325020931889976
18642,a237511415,43.614312,-116.2925133,2.0,3.0,1150.0,2018-10-13,2.0,1235.0,Boise,160010023022,1746,-0.44682108015720373
18643,a237511415,43.614312,-116.2925133,2.0,3.0,1150.0,2018-10-13,2.0,1229.0,Boise,160010023022,1746,-0.4673465388208581
18644,a237511415,43.614312,-116.2925133,2.0,3.0,1150.0,2018-10-13,2.0,1142.0,Boise,160010023022,1746,-0.7767778016916569
18645,ccfe4b2ebe,43.614312,-116.2925133,2.0,2.0,1075.0,2018-10-13,2.0,1354.0,Boise,160010023022,1746,-0.059115103658281945
18646,ccfe4b2ebe,43.614312,-116.2925133,2.0,2.0,1075.0,2018-10-13,2.0,1410.0,Boise,160010023022,1746,0.11168608487435276
18647,ccfe4b2ebe,43.614312,-116.2925133,2.0,2.0,1075.0,2018-10-13,2.0,1352.0,Boise,160010023022,1746,-0.06534504199217157
18648,ccfe4b2ebe,43.614312,-116.2925133,2.0,2.0,1075.0,2018-10-13,2.0,1323.0,Boise,160010023022,1746,-0.15672957398010057
18649,229f1ddca2,43.641611100000006,-116.2049885,2.5,3.0,2400.0,2018-10-13,2.0,3950.0,Boise,160010002012,1746,4.453205680579248
18651,9473aba6a3,43.5924276,-116.1793825,1.0,1.0,774.0,2018-10-13,2.0,1000.0,Boise,160010008042,1746,-1.3363907680469174
18653,8ad958c629,43.5924276,-116.1793825,1.0,1.0,813.0,2018-10-13,2.0,1150.0,Boise,160010008042,1746,-0.7473567222449625
18654,0d2f9fae5e,43.5924276,-116.1793825,1.0,1.0,801.0,2018-10-13,2.0,1000.0,Boise,160010008042,1746,-1.3363907680469174
18655,d4ae5e2c00,43.5924276,-116.1793825,1.0,1.0,778.0,2018-10-13,2.0,1050.0,Boise,160010008042,1746,-1.130762058917227
18656,0c601932d7,43.5924276,-116.1793825,2.0,2.0,996.0,2018-10-13,2.0,1500.0,Boise,160010008042,1746,0.372463223259148
18657,a6b0657e73,43.5924276,-116.1793825,2.0,2.0,1108.0,2018-10-13,2.0,1350.0,Boise,160010008042,1746,-0.07158420303606547
18658,bc81b9eaa3,43.6239859,-116.230195,2.0,3.0,1280.0,2018-10-13,2.0,1311.0,Boise,160010004002,1746,-0.19513122932449534
18659,bc81b9eaa3,43.6239859,-116.230195,2.0,3.0,1280.0,2018-10-13,2.0,1550.0,Boise,160010004002,1746,0.5106576535190744
18660,bc81b9eaa3,43.6239859,-116.230195,2.0,3.0,1280.0,2018-10-13,2.0,1652.0,Boise,160010004002,1746,0.7792584362150313
18661,bc81b9eaa3,43.6239859,-116.230195,2.0,3.0,1280.0,2018-10-13,2.0,1645.0,Boise,160010004002,1746,0.7613622202992605
18662,bc81b9eaa3,43.6239859,-116.230195,2.0,3.0,1280.0,2018-10-13,2.0,1609.0,Boise,160010004002,1746,0.6681046412079266
18663,c4e45b96dc,43.6239859,-116.230195,1.0,1.0,780.0,2018-10-13,2.0,1004.0,Boise,160010004002,1746,-1.3195661847636426
18664,c4e45b96dc,43.6239859,-116.230195,1.0,1.0,780.0,2018-10-13,2.0,1186.0,Boise,160010004002,1746,-0.6174458458543224
18665,c4e45b96dc,43.6239859,-116.230195,1.0,1.0,780.0,2018-10-13,2.0,1356.0,Boise,160010004002,1746,-0.05289436080866958
18666,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1471.0,Boise,160010004002,1746,0.29018392010014027
18667,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1168.0,Boise,160010004002,1746,-0.681900751441363
18668,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1268.0,Boise,160010004002,1746,-0.3356838110572162
18669,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1296.0,Boise,160010004002,1746,-0.24363064272725574
18670,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1447.0,Boise,160010004002,1746,0.2208545566348684
18671,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1532.0,Boise,160010004002,1746,0.46142805725546854
18672,1107f523dc,43.6239859,-116.230195,2.0,2.0,1080.0,2018-10-13,2.0,1568.0,Boise,160010004002,1746,0.5593188389191436
18673,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1052.0,Boise,160010004002,1746,-1.1227419755922543
18674,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1187.0,Boise,160010004002,1746,-0.6138937575568622
18675,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1478.0,Boise,160010004002,1746,0.3101920062423282
18676,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1185.0,Boise,160010004002,1746,-0.6210009304307494
18677,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1508.0,Boise,160010004002,1746,0.3948811086446738
18678,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1408.0,Boise,160010004002,1746,0.10570375240723238
18679,b7a7c13e05,43.6239859,-116.230195,1.0,2.0,980.0,2018-10-13,2.0,1193.0,Boise,160010004002,1746,-0.59264386792328
18680,8db2c27a28,43.5948432,-116.18193290000002,1.0,1.0,622.0,2018-10-13,2.0,1100.0,Boise,160010008041,1746,-0.934701010004234
18681,fca959f187,43.5948432,-116.18193290000002,1.0,1.0,722.0,2018-10-13,2.0,1150.0,Boise,160010008041,1746,-0.7473567222449625
18682,d4b547046a,43.5948432,-116.18193290000002,2.0,2.0,959.0,2018-10-13,2.0,1450.0,Boise,160010008041,1746,0.2295833533666138
18683,23fa9aacf0,43.5948432,-116.18193290000002,2.0,2.0,1023.0,2018-10-13,2.0,1450.0,Boise,160010008041,1746,0.2295833533666138
18684,84d12d68ed,43.619848,-116.2098864,1.0,1.0,648.0,2018-10-13,2.0,1339.0,Boise,160010001003,1746,-0.1060656729293267
18685,a2770a36ac,43.6142784,-116.2056267,1.0,0.0,500.0,2018-10-13,2.0,1250.0,Boise,160010001003,1746,-0.3959405525482877
18686,a2770a36ac,43.6142784,-116.2056267,1.0,0.0,500.0,2018-10-13,2.0,1800.0,Boise,160010001003,1746,1.1408669990665874
18687,b13b726926,43.661997,-116.3448452,1.0,1.0,765.0,2018-10-13,2.0,1025.0,Boise,160010103312,1746,-1.232322455541035
18688,ebc15cf144,43.661997,-116.3448452,1.0,1.0,830.0,2018-10-13,2.0,1130.0,Boise,160010103312,1746,-0.821298136616109
18689,1b32058bb7,43.661997,-116.3448452,1.0,2.0,900.0,2018-10-13,2.0,1150.0,Boise,160010103312,1746,-0.7473567222449625
18690,2ea8d86b6e,43.661997,-116.3448452,2.0,2.0,960.0,2018-10-13,2.0,1175.0,Boise,160010103312,1746,-0.656717690933083
18691,d36479f3bc,43.661997,-116.3448452,2.0,2.0,1040.0,2018-10-13,2.0,1360.0,Boise,160010103312,1746,-0.04048035326055343
18692,5ae515cf88,43.661997,-116.3448452,2.0,2.0,1075.0,2018-10-13,2.0,1265.0,Boise,160010103312,1746,-0.3456669642022791
18693,4711c39aea,47.732214,-116.800379,2.0,3.0,1208.0,2021-09-17,3.0,1900.0,Coeur D Alene,160550007003,2816,1.3687361424748323
18695,ccaad62089,47.731373,-116.81047,2.0,2.0,1065.0,2021-09-17,2.0,2095.0,Coeur D Alene,160550007002,2816,1.7804965206387937
18696,19faac6cc3,47.731373,-116.81047,1.0,1.0,757.0,2021-09-17,2.0,1700.0,Coeur D Alene,160550007002,2816,0.8999698622380763
18698,eeca68aede,47.712322,-116.809486,2.0,3.0,1370.0,2021-09-17,2.0,2325.0,Coeur D Alene,160550009004,2816,2.2195116448251397
18700,2060263952,47.741321,-116.841404,2.0,3.0,1186.0,2021-09-17,2.0,2000.0,Coeur D Alene,160550007002,2816,1.5849144253618008
18701,deb887abce,47.741321,-116.841404,2.0,2.0,1025.0,2021-09-17,2.0,1850.0,Coeur D Alene,160550007002,2816,1.2563414146519605
18703,14f445c3c8,47.731895,-116.81475,2.0,3.0,1244.0,2021-09-18,1.0,1995.0,Coeur D Alene,160550007002,2817,1.5743648516045192
18704,15c8275a88,47.674391,-116.770394,2.0,4.0,2500.0,2021-09-18,1.0,2750.0,Coeur D Alene,160550015003,2817,2.92705439890311
18705,6e396fb222,47.744005,-116.814578,3.0,3.0,1276.0,2021-09-18,2.0,2295.0,Coeur D Alene,160550007002,2817,2.1647764272489205
18706,c8d62fed83,47.744005,-116.814578,3.0,2.0,1220.0,2021-09-18,2.0,2195.0,Coeur D Alene,160550007002,2817,1.9770147537487361
18707,c19fd75791,47.744005,-116.814578,2.0,2.0,1032.0,2021-09-18,2.0,1995.0,Coeur D Alene,160550007002,2817,1.5743648516045192
18708,219d7b58ee,47.744005,-116.814578,2.0,2.0,1031.0,2021-09-18,2.0,1895.0,Coeur D Alene,160550007002,2817,1.3576305958237362
18709,9ba118c767,47.703848,-116.838174,2.0,3.0,1168.0,2021-09-20,2.0,1540.0,Coeur D Alene,160550008001,2819,0.4833789012281132
18710,4776ee6c27,47.690546000000005,-116.789421,1.0,3.0,1040.0,2021-09-20,3.0,1400.0,Coeur D Alene,160550009003,2819,0.08168914318542979
18711,9b09ef0a23,47.705099,-116.771239,2.0,3.0,1343.0,2021-09-20,1.0,2200.0,Coeur D Alene,160550012003,2819,1.9866041834044843
18712,59e86a9ce4,47.673079,-116.768126,1.0,1.0,540.0,2021-09-22,3.0,1125.0,Coeur D Alene,160550016002,2821,-0.839987978843505
18713,d21fec6523,47.705090000000006,-116.761647,2.0,4.0,2633.0,2021-09-26,1.0,2600.0,Coeur D Alene,160550018004,2825,2.6906623961384866
18714,9f10682564,47.744302000000005,-116.814541,2.0,3.0,1427.0,2021-09-29,1.0,2200.0,Coeur D Alene,160550007002,2828,1.9866041834044843
18715,67202123a0,47.711675,-116.78278799999998,2.0,2.0,1930.0,2021-09-29,3.0,1795.0,Coeur D Alene,160550012001,2828,1.129143618724513
18716,ba8690f52c,47.706057,-116.831378,2.0,3.0,1628.0,2021-09-29,1.0,2950.0,Coeur D Alene,160550008001,2828,3.2229339338900282
18717,ce9aa1bc91,47.720112,-116.837672,2.0,3.0,1527.0,2021-09-29,1.0,2200.0,Coeur D Alene,160550008001,2828,1.9866041834044843
18718,ada8a6e2c7,47.702445,-116.840526,2.0,3.0,1228.0,2021-09-29,2.0,2095.0,Coeur D Alene,160550008001,2828,1.7804965206387937
18719,0f6f989040,47.702445,-116.840526,2.0,2.0,1022.0,2021-09-29,2.0,1895.0,Coeur D Alene,160550008001,2828,1.3576305958237362
18720,2dab973ba7,47.702445,-116.840526,1.0,1.0,775.0,2021-09-29,2.0,1650.0,Coeur D Alene,160550008001,2828,0.7741529813018352
18721,03c522388e,47.68744,-116.773708,3.0,3.0,1370.0,2021-09-29,0.0,1695.0,Coeur D Alene,160550013002,2828,0.8875558546899563
18722,f26cdede6a,47.681144,-116.75309,1.0,2.0,675.0,2021-09-30,1.0,1150.0,Coeur D Alene,160550017002,2829,-0.7473567222449625
18729,fb6aafa2a5,42.877686,-112.44322,3.0,4.0,2470.0,2017-01-05,1.0,1200.0,Pocatello,160050013003,1100,-0.567986992239478
18730,bbbf651512,42.84576,-112.407616,2.5,3.0,1744.0,2017-01-05,1.0,1050.0,Pocatello,160050006002,1100,-1.130762058917227
18731,623c6fdaad,47.734924,-116.89981,2.0,2.0,1025.0,2017-11-23,2.0,1145.0,Post Falls,160550005001,1422,-0.7657208145482953
18732,53212dbf27,47.734924,-116.89981,2.0,3.0,1186.0,2017-11-23,2.0,1290.0,Post Falls,160550005001,1422,-0.2631877660597722
18733,53212dbf27,47.734924,-116.89981,2.0,3.0,1186.0,2017-11-23,2.0,1290.0,Post Falls,160550005001,1422,-0.2631877660597722
18734,4453ee96b4,43.613297,-116.294136,-1.0,2.0,911.0,2017-12-16,2.0,1004.0,Boise,160010023022,1445,-1.3195661847636426
18735,b8c8721375,43.613297,-116.294136,2.0,2.0,1053.0,2017-12-13,2.0,1034.0,Boise,160010023022,1442,-1.1954781483890253
18736,b8c8721375,43.613297,-116.294136,2.0,2.0,1053.0,2017-12-14,2.0,1034.0,Boise,160010023022,1443,-1.1954781483890253
18737,b8c8721375,43.613297,-116.294136,2.0,2.0,1053.0,2017-12-16,2.0,1034.0,Boise,160010023022,1445,-1.1954781483890253
18738,ebc15cf144,43.662003000000006,-116.34558,1.0,1.0,830.0,2017-12-14,2.0,1000.0,Boise,160010103312,1443,-1.3363907680469174
18739,2ea8d86b6e,43.662003000000006,-116.34558,2.0,2.0,960.0,2017-12-14,2.0,1085.0,Boise,160010103312,1443,-0.9925676286573003
18740,5ae515cf88,43.662003000000006,-116.34558,2.0,2.0,1075.0,2017-12-14,2.0,1120.0,Boise,160010103312,1443,-0.8587610723131999
18741,1b32058bb7,43.662003000000006,-116.34558,1.0,2.0,900.0,2017-12-14,2.0,1025.0,Boise,160010103312,1443,-1.232322455541035
18742,d36479f3bc,43.662003000000006,-116.34558,2.0,2.0,1040.0,2017-12-14,2.0,1180.0,Boise,160010103312,1443,-0.6388214750173121
18743,a237511415,43.613903,-116.29332,2.0,3.0,1150.0,2017-12-14,2.0,1292.0,Boise,160010023022,1443,-0.25665863614752193
18744,a237511415,43.613903,-116.29332,2.0,3.0,1150.0,2017-12-14,2.0,1293.0,Boise,160010023022,1443,-0.25339786034427997
18745,a237511415,43.613903,-116.29332,2.0,3.0,1150.0,2017-12-14,2.0,1282.0,Boise,160010023022,1443,-0.28940590669467214
18746,a237511415,43.613903,-116.29332,2.0,3.0,1150.0,2017-12-14,2.0,1378.0,Boise,160010023022,1443,0.014934576036425569
18747,a237511415,43.613903,-116.29332,2.0,3.0,1150.0,2017-12-14,2.0,1445.0,Boise,160010023022,1443,0.21502529911434795
18748,a237511415,43.613903,-116.29332,2.0,3.0,1150.0,2017-12-14,2.0,1357.0,Boise,160010023022,1443,-0.049787429215361
18749,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1035.0,Boise,160010023022,1443,-1.1914041485401796
18750,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1022.0,Boise,160010023022,1443,-1.2446758181191118
18751,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1124.0,Boise,160010023022,1443,-0.843735913741863
18752,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1144.0,Boise,160010023022,1443,-0.769403254726174
18753,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1034.0,Boise,160010023022,1443,-1.1954781483890253
18754,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1143.0,Boise,160010023022,1443,-0.7730889152281819
18755,ccfe4b2ebe,43.613903,-116.29332,2.0,2.0,1075.0,2017-12-14,2.0,1125.0,Boise,160010023022,1443,-0.839987978843505
18758,e112cb8f61,43.625233,-116.33288,2.0,3.0,1200.0,2017-12-14,2.0,1145.0,Boise,160010023103,1443,-0.7657208145482953
18759,e112cb8f61,43.625233,-116.33288,2.0,3.0,1200.0,2017-12-14,2.0,1145.0,Boise,160010023103,1443,-0.7657208145482953
18762,14f1f84395,43.650528,-116.25055,1.0,1.0,750.0,2017-12-14,2.0,1015.0,Boise,160010003031,1443,-1.273641928809761
18763,14f1f84395,43.650528,-116.25055,1.0,1.0,750.0,2017-12-14,2.0,1015.0,Boise,160010003031,1443,-1.273641928809761
18764,14f1f84395,43.650528,-116.25055,1.0,1.0,750.0,2017-12-14,2.0,1015.0,Boise,160010003031,1443,-1.273641928809761
18767,294754978e,43.650528,-116.25055,2.0,3.0,1250.0,2017-12-14,2.0,1130.0,Boise,160010003031,1443,-0.821298136616109
18768,2cb0b9ee67,43.61156,-116.2026,1.0,2.0,725.0,2017-12-14,2.0,1450.0,Boise,160010001002,1443,0.2295833533666138
18769,b229632a31,43.61156,-116.2026,1.0,1.0,585.0,2017-12-14,2.0,1250.0,Boise,160010001002,1443,-0.3959405525482877
18770,92b28842e6,43.61156,-116.2026,1.0,0.0,630.0,2017-12-14,2.0,1350.0,Boise,160010001002,1443,-0.07158420303606547
18772,bb1e8631ee,43.61156,-116.2026,2.0,2.0,760.0,2017-12-14,2.0,1550.0,Boise,160010001002,1443,0.5106576535190744
18774,b9979e5f70,43.544334,-116.154015,2.0,3.0,1150.0,2017-12-14,2.0,1125.0,Boise,160010105031,1443,-0.839987978843505
18775,ff7a1ff331,43.544334,-116.154015,2.0,2.0,1008.0,2017-12-14,2.0,1040.0,Boise,160010105031,1443,-1.1710930127688575
18776,9e2db3beb7,43.544334,-116.154015,1.0,2.0,941.0,2017-12-14,2.0,1000.0,Boise,160010105031,1443,-1.3363907680469174
18778,4096a08d34,43.575493,-116.15295,2.0,2.0,1104.0,2017-12-14,2.0,1510.0,Boise,160010008051,1443,0.4004669974881545
18779,3b0136b151,43.575493,-116.15295,1.0,0.0,633.0,2017-12-14,2.0,1110.0,Boise,160010008051,1443,-0.8965600029493183
18784,50bcb08ff8,43.575493,-116.15295,1.0,1.0,795.0,2017-12-14,2.0,1183.0,Boise,160010008051,1443,-0.6281201086699204
18785,751dea12a4,43.575493,-116.15295,2.0,2.0,1190.0,2017-12-14,2.0,1848.0,Boise,160010008051,1443,1.251782677035549
18786,6575f96414,43.575493,-116.15295,2.0,2.0,1252.0,2017-12-14,2.0,1730.0,Boise,160010008051,1443,0.973695692961738
18787,6fdb325910,43.6178,-116.20782,1.0,1.0,670.0,2017-12-14,2.0,1200.0,Boise,160010001003,1443,-0.567986992239478
18788,6fdb325910,43.6178,-116.20782,1.0,1.0,670.0,2017-12-14,2.0,1300.0,Boise,160010001003,1443,-0.23064279727023151
18789,0015f5d7c4,43.6178,-116.20782,1.0,1.0,706.0,2017-12-14,2.0,1300.0,Boise,160010001003,1443,-0.23064279727023151
18790,13f7837594,43.56585,-116.17741399999998,2.0,2.0,1313.0,2017-12-14,0.0,1222.0,Boise,160010105042,1443,-0.49141993565502295
18791,13f7837594,43.56585,-116.17741399999998,2.0,2.0,1313.0,2017-12-14,0.0,1273.0,Boise,160010105042,1443,-0.31909759320995096
18792,13f7837594,43.56585,-116.17741399999998,2.0,2.0,1313.0,2017-12-14,0.0,1198.0,Boise,160010105042,1443,-0.5750171064891416
18793,13f7837594,43.56585,-116.17741399999998,2.0,2.0,1313.0,2017-12-14,0.0,1147.0,Boise,160010105042,1443,-0.7583655726893918
18794,bebe08c84b,43.56585,-116.17741399999998,2.0,3.0,1313.0,2017-12-14,0.0,1266.0,Boise,160010105042,1443,-0.34233661830361506
18795,b6a295bd93,43.63808,-116.35171,1.0,2.0,762.0,2017-12-14,2.0,1675.0,Boise,160010103313,1443,0.8375309051756434
18797,09ded367dc,43.63808,-116.35171,1.0,1.0,568.0,2017-12-14,2.0,1450.0,Boise,160010103313,1443,0.2295833533666138
18798,1c8357fff8,43.60261,-116.18891,2.0,3.0,1250.0,2017-12-14,2.0,1210.0,Boise,160010007013,1443,-0.5330112519615468
18799,8d9490628c,43.595978,-116.18547,2.0,3.0,1646.0,2017-12-14,2.0,1670.0,Boise,160010008041,1443,0.8249313367022179
18800,8d9490628c,43.595978,-116.18547,2.0,3.0,1646.0,2017-12-14,2.0,1670.0,Boise,160010008041,1443,0.8249313367022179
18801,26f0e07da8,43.595978,-116.18547,2.0,2.0,1086.0,2017-12-14,2.0,1085.0,Boise,160010008041,1443,-0.9925676286573003
18802,26f0e07da8,43.595978,-116.18547,2.0,2.0,1086.0,2017-12-14,2.0,1120.0,Boise,160010008041,1443,-0.8587610723131999
18803,3436f83a63,43.595978,-116.18547,2.0,2.0,1100.0,2017-12-14,2.0,1115.0,Boise,160010008041,1443,-0.8776181620064629
18804,0cfb155be8,43.595978,-116.18547,1.0,2.0,1086.0,2017-12-14,2.0,1105.0,Boise,160010008041,1443,-0.9155873603939598
18805,3fddf9abb1,43.613255,-116.29538,2.0,2.0,1053.0,2017-12-14,2.0,1025.0,Boise,160010023131,1443,-1.232322455541035
18806,3fddf9abb1,43.613255,-116.29538,2.0,2.0,1053.0,2017-12-14,2.0,1001.0,Boise,160010023131,1443,-1.332178321403923
18807,bfe8195b51,43.675915,-116.28608,3.0,3.0,1497.0,2017-12-14,2.0,1525.0,Boise,160010102231,1443,0.4421268343763216
18808,769b78f7c2,43.675915,-116.28608,2.5,2.0,1335.0,2017-12-14,2.0,1350.0,Boise,160010102231,1443,-0.07158420303606547
18809,2f6cc1373e,43.675915,-116.28608,2.5,3.0,1469.0,2017-12-14,2.0,1400.0,Boise,160010102231,1443,0.08168914318542979
18811,670d5a0f64,43.61777,-116.28864,2.0,3.0,1100.0,2017-12-14,2.0,1034.0,Boise,160010023022,1443,-1.1954781483890253
18813,c6527c179a,43.61777,-116.28864,2.0,3.0,1550.0,2017-12-14,2.0,1190.0,Boise,160010023022,1443,-0.6032554199383022
18814,9473aba6a3,43.59256,-116.17825,1.0,1.0,774.0,2017-12-14,2.0,1285.0,Boise,160010008042,1443,-0.2795549808647939
18815,d4ae5e2c00,43.59256,-116.17825,1.0,1.0,778.0,2017-12-14,2.0,1265.0,Boise,160010008042,1443,-0.3456669642022791
18816,2a77256c81,43.59256,-116.17825,1.0,1.0,681.0,2017-12-14,2.0,1150.0,Boise,160010008042,1443,-0.7473567222449625
18817,0c601932d7,43.59256,-116.17825,2.0,2.0,996.0,2017-12-14,2.0,1785.0,Boise,160010008042,1443,1.1055985713677632
18818,8ad958c629,43.59256,-116.17825,1.0,1.0,813.0,2017-12-14,2.0,1390.0,Boise,160010008042,1443,0.051477167821335226
18819,0d2f9fae5e,43.59256,-116.17825,1.0,1.0,801.0,2017-12-14,2.0,1350.0,Boise,160010008042,1443,-0.07158420303606547
18820,a6b0657e73,43.59256,-116.17825,2.0,2.0,1108.0,2017-12-14,2.0,1685.0,Boise,160010008042,1443,0.8626176013618404
18822,faba420374,43.632366,-116.19124,1.0,2.0,780.0,2017-12-14,2.0,1035.0,Boise,160010002011,1443,-1.1914041485401796
18823,a75d6a7ac4,43.581448,-116.17608,2.0,3.0,1124.0,2017-12-14,2.0,1060.0,Boise,160010008041,1443,-1.0908133947402603
18824,1107f523dc,43.624287,-116.22934,2.0,2.0,1080.0,2017-12-14,2.0,1195.0,Boise,160010004002,1443,-0.5855843143204754
18825,1107f523dc,43.624287,-116.22934,2.0,2.0,1080.0,2017-12-14,2.0,1213.0,Boise,160010004002,1443,-0.522574880515258
18826,1107f523dc,43.624287,-116.22934,2.0,2.0,1080.0,2017-12-14,2.0,1207.0,Boise,160010004002,1443,-0.5434735308521541
18827,1107f523dc,43.624287,-116.22934,2.0,2.0,1080.0,2017-12-14,2.0,1204.0,Boise,160010004002,1443,-0.5539618461334941
18828,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1072.0,Boise,160010004002,1443,-1.0433695258216085
18829,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1469.0,Boise,160010004002,1443,0.2844498341605769
18830,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1446.0,Boise,160010004002,1443,0.21794093569929449
18831,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1442.0,Boise,160010004002,1443,0.2062662675263346
18832,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1427.0,Boise,160010004002,1443,0.16219595468678671
18833,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1087.0,Boise,160010004002,1443,-0.9848060196211758
18834,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1105.0,Boise,160010004002,1443,-0.9155873603939598
18835,c4e45b96dc,43.624287,-116.22934,1.0,1.0,780.0,2017-12-14,2.0,1081.0,Boise,160010004002,1443,-1.0081338606297576
18836,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1177.0,Boise,160010004002,1443,-0.6495500828867042
18837,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1381.0,Boise,160010004002,1443,0.0240999711283882
18838,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1556.0,Boise,160010004002,1443,0.5269405553524107
18839,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1534.0,Boise,160010004002,1443,0.46692649575937
18840,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1359.0,Boise,160010004002,1443,-0.043580428807062664
18841,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1255.0,Boise,160010004002,1443,-0.379115969265013
18842,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1162.0,Boise,160010004002,1443,-0.7036066492849993
18843,b7a7c13e05,43.624287,-116.22934,1.0,2.0,980.0,2017-12-14,2.0,1249.0,Boise,160010004002,1443,-0.3993135439371741
18844,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1393.0,Boise,160010004002,1443,0.06056352243419044
18845,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1654.0,Boise,160010004002,1443,0.7843577139277942
18846,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1487.0,Boise,160010004002,1443,0.335777901105745
18847,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1689.0,Boise,160010004002,1443,0.8726106173427963
18848,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1514.0,Boise,160010004002,1443,0.4116166138201232
18849,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1396.0,Boise,160010004002,1443,0.06963032947810478
18850,bc81b9eaa3,43.624287,-116.22934,2.0,3.0,1280.0,2017-12-14,2.0,1329.0,Boise,160010004002,1443,-0.13765916806871503
